Premio;Nominado;URL;Marca de tiempo (Ej=00:30-01:00)
silksont;Assassin's Creed II;https://www.youtube.com/watch?v=3wHOhOPHpYE&ab_channel=SaulAntonioGonzalezLopez;00:00-00:30
silksont;Deathloop;https://www.youtube.com/watch?v=FxgwIP4Cqpc&ab_channel=PlayStation;00:30-01:00
silksont;Detroit Become Human;https://www.youtube.com/watch?v=Pz8YkV1YmM0&ab_channel=CINEMATICGAMING;03:54-04:24
silksont;Indivisible;https://www.youtube.com/watch?v=S5846AJ898U&ab_channel=PlayStation;00:26-00:56
silksont;Inscryption;https://www.youtube.com/watch?v=uAn7OxLub9Y&ab_channel=PlayStation;00:22-00:52
silksont;Outer Wilds;https://www.youtube.com/watch?v=d6LGnVCL1_A&t=26s&ab_channel=GameSpotTrailers;00:04-00:34
silksont;Limbo;https://www.youtube.com/watch?v=PpcPK2okylM&ab_channel=NintendoofAmerica;00:06-00:36
silksont;Ori and the Will of the Wisps;https://www.youtube.com/watch?v=2reK8k8nwBc&ab_channel=Xbox;00:50-01:20
silksont;Super Meat Boy;https://www.youtube.com/watch?v=snaionoxjos&ab_channel=IGN;00:00-00:30
plot-twist-el-videojuego;Oxenfree;https://www.youtube.com/watch?v=7QWYD9XXSQ8&ab_channel=GamingPicks;00:58-01:28
plot-twist-el-videojuego;South Park: The Stick of Truth;https://www.youtube.com/watch?v=5BRBR_KR0Ww&ab_channel=ITSHAWK95games;00:30-01:00
plot-twist-el-videojuego;Batman: Arkham Knight;https://www.youtube.com/watch?v=-VwgNeTyseQ&ab_channel=LegendsForeverStudios;00:00-00:30
plot-twist-el-videojuego;Animal Well;https://www.youtube.com/watch?v=i4YnLI6UpTA&t=44s&ab_channel=FuryForged;17:02-17:32
plot-twist-el-videojuego;Battletoads;https://www.youtube.com/watch?v=pwPB6_g3sq4&ab_channel=Xbox;00:57-01:27
ojo-llameante-de-mordor;South Park: The Stick of Truth;https://www.youtube.com/watch?v=vWH2EcA2usc&ab_channel=TheGOODKyle;00:52-01:18
ojo-llameante-de-mordor;Battletoads;https://www.youtube.com/watch?v=v9q3otAKuaw&ab_channel=Kakuchopurei;00:20-00:50
ojo-llameante-de-mordor;Batman: Arkham City;https://drive.google.com/file/d/1YmJuHJsBTwC8TjsCVu_ylXAjpPEZIddh/view?usp=sharing;00:00-00:28
ojo-llameante-de-mordor;The Hex;https://youtu.be/vilYcBpUn0s?t=2235;37:21-37:51
ojo-llameante-de-mordor;Batman: Arkham Knight;https://www.youtube.com/watch?v=SWXWQ8S4xGQ&ab_channel=trastendo;00:10-00:29
threshold-kids;Super Mario Odyssey;https://www.youtube.com/watch?v=p0bENYZnH6c;00:34-00:57
threshold-kids;Animal Well;https://www.youtube.com/watch?v=BykX5MZePU4;00:00-00:21
threshold-kids;Batman: Arkham Knight;https://www.youtube.com/watch?v=AKqhThk0msc;00:00-00:30
threshold-kids;Katana Zero;https://www.youtube.com/watch?v=BXyl85yH1bo&ab_channel=DoriDoriko;00:00-00:40
threshold-kids;Battletoads;https://www.youtube.com/watch?v=xUgHUuvhK9I;16:03-16:33
caught-in-4k;Batman: Arkham Knight;https://www.youtube.com/watch?v=GYAI3C7m7Zs&ab_channel=TheBeautyOf;00:16-00:56
caught-in-4k;Senua's Saga: Hellblade II;https://www.youtube.com/watch?v=hRv21LqmpRA&ab_channel=DefendTheHouse;02:37-03:07
caught-in-4k;Little Nightmares II;https://www.youtube.com/watch?v=kz_8gBOyZko&ab_channel=OGTeckl;01:00-01:32
caught-in-4k;The Plucky Squire;https://www.youtube.com/watch?v=tQtaYB712BY&ab_channel=PlayStationLatinoam%C3%A9rica;00:20-00:50
caught-in-4k;Super Mario Odyssey;https://www.youtube.com/watch?v=eE5ZF3hNKak&ab_channel=NintendoEspa%C3%B1a;00:40-01:10
susto-menor;Little Nightmares II;https://www.youtube.com/watch?v=ThDr_LKn9xk;02:10-02:40
susto-menor;Oxenfree;https://www.youtube.com/watch?v=qZ1sAPaezpk;02:38-03:08
susto-menor;Oxenfree II: Lost Signals;https://www.youtube.com/watch?v=19W51CwKoi4;02:07-02:37
susto-menor;Senua's Saga: Hellblade II;https://www.youtube.com/watch?v=FaybESjwj0Y;00:25-00:59
susto-menor;Batman: Arkham Knight;https://www.youtube.com/watch?v=mDrfuM7nemQ;04:35-05:14
angers-award;Dark Souls;https://www.youtube.com/watch?v=NBLXISw6fcc&ab_channel=TheBradgicShow;00:07-00:47
angers-award;Katana Zero;https://www.youtube.com/watch?v=HVxqr21c54M;12:33-13:03
angers-award;Batman: Arkham Knight;https://www.youtube.com/watch?v=bC8-EyZlvKk&ab_channel=MoonArkham;00:00-00:30
angers-award;NieR: Automata;https://www.youtube.com/watch?v=BCzYSMsOMWA&ab_channel=TyrellCorp;00:00-00:30
angers-award;Hi-Fi Rush;https://www.youtube.com/watch?v=twfJU6teQ4w&ab_channel=Anikiz;00:00-00:27
odisea-virtual;NieR: Automata;https://www.youtube.com/watch?v=SyVqjTenLLk&ab_channel=Timinator74;00:24-00:54
odisea-virtual;Batman: Arkham Knight;https://www.youtube.com/watch?v=JAv0jk1184g&ab_channel=CodigoJuegos;03:13-03:43
