Is She Still With You - Batman v Superman;10;;;;
Leaving Caladan - Dune Parte I;8,3;;;;
Attack on titan - Ataque a los titanes;10;;;;
Il triello - El bueno, el feo y el malo;8;;;;
Tanjiro no Uta - Kimetsu no Yaiba;10;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;5,5;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;10;x;https://youtu.be/GAqFUtraC10?si=783pZqNxFssH5_wZ;00:27-00:57;
"Carros de fuego" - Vangelis (Carros de fuego);7,9;;;;
Rain - Cowboy bebop;10;;;;
To the Infinity Castle - Kimetsu No Yaiba;10;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;8,6;;;;
Living in the shadows - Love, death and robots;8;;;;
Now We Are Free - Gladiator;6,3;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;10;;;;
This Land - El Rey León;10;;;;
Sanctuary - The Hunchback of Notre Dame;10;;;;
Vértigo - Vértigo;5;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;10;x;https://youtu.be/jpvDpbjuPkY?si=QnH36I2txkWh0ymE;1:48-2:18;
Restriction and pledge - Hunter x Hunter;10;;;;
Test Drive - Como entrenar a tu dragón;8,8;;;;
Jump in the line - Beetlejuice;6;;;;
Goodbye blue sky - The Wall;7;;;;
Dynasties & Dystopia - Arcane;9,7;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;9,5;;;;
Kiss the ring - Dune Parte II;8,9;;;;
Overture - The phantom of the Opera;10;;;;
The Night King - Juego de Tronos;6,8;;;;
Love theme - Cinema Paradiso;6,5;;;;
Lisan Al Gaib - Dune II;8,6;;;;
Courtyard Apocalypse - Harry Potter;9;;;;
Nana de Mercedes - El laberinto del fauno;8,12;;;;
Apocalypto - The Game and Scape;8,1;;;;
Moon Knight theme - Moon Knight;10;x;https://youtu.be/ahP63bKS2V8?si=aRAKGgBuOsUuaxsv;00:33-1:03;
True survivor- Kung fury;10;;;;
Blade runner blues - Blade Runner;10;;;;
Still don't know my name - Euphoria;10;;;;
The Game is On - Sherlock;9,7;;;;
I am Sherlocked - Sherlock;9,7;x;https://youtu.be/-bBHT158E0s?si=izK3kNm9E7I-yMUH;2:31-3:01;
Duel of Fates - Star Wars: La Amenaza Fantasma;10;;;;
Náufrago escena- Náufrago;8;;;;
Imhotep - The mummy;9,4;;;;
Unohana Bankai - Bleach;10;;;;
Hymn To Red October - La caza del octubre rojo;9,6;;;;
La Pantera Rosa - La Pantera Rosa;9;;;;
Mother Sea - One piece;9,5;;;;
The bridge of Khazad Dum - El señor de los anillos;9,2;;;;
Jurassic Park - Parque Jurásico;8,5;;;;
Piratas del caribe BSO - Piratas del Caribe;10;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;10;;;;
Freedom - Braveheart;8,8;;;;
Master of Masters theme - Kingdom Hearts;10;x;https://youtu.be/9R2TMKd9Zz0?si=vQ1cjWtKMUicLrNz;00:02-00:32;
Discombobulate - Sherlock Holmes;9,7;;;;
Victor’s piano solo - La novia cadáver;10;;;;
The Only thing worth fighting for - True Detective;8,3;;;;
Marcha imperial - Star wars;8,7;;;;
Sayuri's Theme - Memorias de una Geisha;7,9;;;;
Your new home - Amazing Digital Circus;8;;;;
Love so fine - True Beauty kdrama;4,9;;;;
The Citrine Cross - The Da Vinci Code;10;;;;
Eye of the tiger - Rocky III;10;;;;
Kronos Unveiled - Los Increíbles;9,2;;;;
Farewell - Pocahontas;10;;;;
Family theme - Shinchan;8,5;;;;
Alice’s Theme - Alicia en el País de la Maravillas;10;;;;
Enchantix - Winx Club;10;;;;
Vals - Princesa por sorpresa;9,6;;;;
Locke’d out again - Lost;6,9;;;;
Spirit - No voy a rendirme;8,9;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;8,9;x;https://youtu.be/22SO8MFdEHo?si=RsbyVyAZcND1pmJ8;00:47-1:17;INFANCIA
Change of seasons - Harry Potter y la piedra filosofal;7;;;;
Indiana Jones Theme - Indiana Jones;8,3;;;;
Kanto Anime OST - Pokemon;7,5;;;;
Married Life - Up;10;;;;
Escena final Titanic - Titanic;7;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;9,7;;;;
Hyoga vs Camus - Saint Seiya;10;x;https://youtu.be/Ky1chhJdtWM?si=6GrY2-8H4Q1oz3F8;4:09-4:39;
My Daughter Anne - Anne with an E;9;;;;
She is a witch - Madoka Magica;10;;;;
Sweet Dreams - Chainsaw man;9,8;;;;
Main theme - Psycho/Psicosis;7,5;;;;
The Batman - The Batman;9,5;;;;
Pozos de ambición - There will be blood;6,8;;;;
Portals - Avengers Endgame;9;;;;
I have to save her - Erased;10;;;;
The Mandalorian theme - The Mandalorian;10;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;9,8;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);8,5;;;;
Isshiki japanese combat kitchen - Shokugeki;9;x;https://youtu.be/_R2Z3TqsaAw?si=hMbJmYPa-3QN4NkN;00:30-1:00;
Happy Gru - Gru, mi villano favorito;9,5;;;;
Escena Rue - Los juegos del hambre;8;;;;
Zorro´s Theme - La mascara del zorro;9;;;;
Lo que el viento se llevó - Lo que el viento se llevó;8,6;;;;
Season 5A Suite - Once Upon a Time;7,5;;;;
Parade - Paprika;5;;;;
Derezzed - Tron legacy;8,7;;;;
Low of Solipsism - Death Note;9,8;;;;
Destroyer of Worlds - Oppenheimer;10;;;;
Sin mirar atrás - La ruta hacia el dorado;9;;;;
Corazón de dragón tema final- Corazón de dragón;9,6;;;;
To give a marionette life - Hunter x Hunter;10;x;https://youtu.be/AYKJA1esRdo?si=mE4KFaIp5Z80cyzd;2:10-2:40;
A Watchful Guardian - The Dark Knight;10;;;;
Allerdale Hall - La Cumbre Escarlata;9,7;;;;
Hanezeve Caradhina - Made in Abyss;9,9;;;;
The Other Side - Gattaca;10;;;;
I think i did - Lovely runner;6,8;;;;
Love theme - El padrino;4,9;;;;
Jaws, Main Theme - Jaws;6,2;;;;
Theme from Schindler’s List - Schindler’s List;7,9;;;;
Transformación - Hermano Oso;9,1;;;;
A Gift of A Thistle - Braveheart;8;;;;
Surrounded - El hombre de la máscara de hierro;9,4;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;9,6;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;9,8;;;;
An Immortal conffesion - Fumetsu no anata e.;8,8;x;https://youtu.be/MIlJJYl2JII?si=TXhQzqtp5NTaMO5T;1:32-2:02;
Table for two - Animales Nocturnos;10;;;;
Cuckold Comes Out - Master & Commander;9;;;;
Lo extraño que soy - Tarzán;9,5;;;;
Pinks Soldiers 23 - Juego del calamar;4,9;;;;
Twin Peaks - Twin Peaks;4,9;;;;
Main title - El resplandor;4,9;;;;
Ashoka vs Maul - Star Wars: Clone Wars;8;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;8;;;;
Bso Leyendas de pasión- Leyendas de pasión;8,6;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;10;;;;
Madder Sky - Code Geass;10;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;9,4;x;https://youtu.be/SKXYhr-EgsE?si=6WXBk-7JA2lP8c6q;2:47-3:17;
Sadness Waltz - The picture of Dorian Gray;10;;;;
The Ecstasy of gold - El bueno, el feo y el malo;7;;;;
She will kill you - Stranger things;5;;;;
La vita è Bella - La Vita è Bella;6;;;;
Death is the road to Awe - The Fountain;8,3;;;;
The rains of Castamere - Juego de Tronos;10;;;;
