Is She Still With You - Batman v Superman;7'5;;;;
Leaving Caladan - Dune Parte I;9;;;;
Attack on titan - Ataque a los titanes;9'7;;;;
Il triello - El bueno, el feo y el malo;7'8;;;;
Tanjiro no Uta - Kimetsu no Yaiba;7;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;7'8;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;7;;;;
"Carros de fuego" - Vangelis (Carros de fuego);9;;;;
Rain - Cowboy bebop;9;;;;
To the Infinity Castle - Kimetsu No Yaiba;7'8;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;8;x;https://youtu.be/PZB102lBYh0?si=EDcCyiopQRqow93u;;
Living in the shadows - Love, death and robots;8;;;;
Now We Are Free - Gladiator;8;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;7;;;;
This Land - El Rey León;8;;;;
Sanctuary - The Hunchback of Notre Dame;8;;;;
Vértigo - Vértigo;7;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;7;;;;
Restriction and pledge - Hunter x Hunter;6;;;;
Test Drive - Como entrenar a tu dragón;7;;;;
Jump in the line - Beetlejuice;8;;;;
Goodbye blue sky - The Wall;8;x;https://youtu.be/rKBz5_pbdzM?si=f0ZW30PCSjFJH_IV;;
Dynasties & Dystopia - Arcane;7;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;8;;;;
Kiss the ring - Dune Parte II;8;;;;
Overture - The phantom of the Opera;9;;;;
The Night King - Juego de Tronos;8;;;;
Love theme - Cinema Paradiso;7'7;;;;
Lisan Al Gaib - Dune II;8;;;;
Courtyard Apocalypse - Harry Potter;7;;;;
Nana de Mercedes - El laberinto del fauno;8;;;;
Apocalypto - The Game and Scape;7'8;;;;
Moon Knight theme - Moon Knight;7;;;;
True survivor- Kung fury;7;;;;
Blade runner blues - Blade Runner;9;;;;
Still don't know my name - Euphoria;8;x;https://youtu.be/jY9jIwCx8y4?si=zFPBE0sXmuomcAGW;;
The Game is On - Sherlock;7;;;;
I am Sherlocked - Sherlock;7;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;9;;;;
Náufrago escena- Náufrago;8;;;;
Imhotep - The mummy;7;;;;
Unohana Bankai - Bleach;8;;;;
Hymn To Red October - La caza del octubre rojo;10;x;https://youtu.be/MRG1UixHvos?si=GO4VWtjV9yPGCTtEq;;
La Pantera Rosa - La Pantera Rosa;7;;;;
Mother Sea - One piece;7;;;;
The bridge of Khazad Dum - El señor de los anillos;8;;;;
Jurassic Park - Parque Jurásico;7;;;;
Piratas del caribe BSO - Piratas del Caribe;7;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;8;;;;
Freedom - Braveheart;9;;;;
Master of Masters theme - Kingdom Hearts;8;;;;
Discombobulate - Sherlock Holmes;7'6;;;;
Victor’s piano solo - La novia cadáver;9;;;;
The Only thing worth fighting for - True Detective;8;x;https://youtu.be/JcyhH1CulLs?si=303YQnuBqfG9BpGg;;
Marcha imperial - Star wars;9'5;;;;
Sayuri's Theme - Memorias de una Geisha;8;;;;
Your new home - Amazing Digital Circus;7;;;;
Love so fine - True Beauty kdrama;6;;;;
The Citrine Cross - The Da Vinci Code;6;;;;
Eye of the tiger - Rocky III;8;;;;
Kronos Unveiled - Los Increíbles;8;;;;
Farewell - Pocahontas;8;;;;
Family theme - Shinchan;6;;;;
Alice’s Theme - Alicia en el País de la Maravillas;7;;;;
Enchantix - Winx Club;6;;;;
Vals - Princesa por sorpresa;6;;;;
Locke’d out again - Lost;9;x;https://youtu.be/ZYfKHVdmjzQ?si=70UWgslqMbjdFvK5p;01:22 - 01:52;INFANCIA
Spirit - No voy a rendirme;8;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;7;;;;
Change of seasons - Harry Potter y la piedra filosofal;7;;;;
Indiana Jones Theme - Indiana Jones;8;;;;
Kanto Anime OST - Pokemon;7;;;;
Married Life - Up;10;;;;
Escena final Titanic - Titanic;8;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;8;;;;
Hyoga vs Camus - Saint Seiya;7;;;;
My Daughter Anne - Anne with an E;8;;;;
She is a witch - Madoka Magica;7;;;;
Sweet Dreams - Chainsaw man;9'5;x;https://youtu.be/_U4FQmeYXwc?si=SqxLqBRBNkXnOJLU;;
