Is She Still With You - Batman v Superman;7,25;;;;
Leaving Caladan - Dune Parte I;7,75;;;;
Attack on titan - Ataque a los titanes;9,75;;;;
Il triello - El bueno, el feo y el malo;8,75;;;;
Tanjiro no Uta - Kimetsu no Yaiba;8,5;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;9,75;X;https://www.youtube.com/watch?v=6RcYW3fR7UA&t=155s&ab_channel=MovieNeeds;2:40 - 3:10;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;9,5;;;;
"Carros de fuego" - Vangelis (Carros de fuego);7;;;;
Rain - Cowboy bebop;8,25;;;;
To the Infinity Castle - Kimetsu No Yaiba;9;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;10;;;;
Living in the shadows - Love, death and robots;8;;;;
Now We Are Free - Gladiator;9,25;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;10;;;;
This Land - El Rey León;7,75;;;;
Sanctuary - The Hunchback of Notre Dame;8,25;;;;
Vértigo - Vértigo;7;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;6,75;;;;
Restriction and pledge - Hunter x Hunter;7;;;;
Test Drive - Como entrenar a tu dragón;10;;;;
Jump in the line - Beetlejuice;9,25;X;https://www.youtube.com/watch?v=nbkybaDR_Co&ab_channel=MichelleDelamatter;0:22-0:52;
Goodbye blue sky - The Wall;8,5;;;;
Dynasties & Dystopia - Arcane;8;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;9;;;;
Kiss the ring - Dune Parte II;8,75;;;;
Overture - The phantom of the Opera;9,5;;;;
The Night King - Juego de Tronos;8,5;;;;
Love theme - Cinema Paradiso;9,25;;;;
Lisan Al Gaib - Dune II;6,75;;;;
Courtyard Apocalypse - Harry Potter;9,85;;;;
Nana de Mercedes - El laberinto del fauno;10;X;https://www.youtube.com/watch?v=FhTMEcFvd0g&ab_channel=AdhamC;4:31 - 5:01;
Apocalypto - The Game and Scape;7,25;;;;
Moon Knight theme - Moon Knight;8;;;;
True survivor- Kung fury;9,75;;;;
Blade runner blues - Blade Runner;5;;;;
Still don't know my name - Euphoria;10;;;;
The Game is On - Sherlock;8;;;;
I am Sherlocked - Sherlock;8,5;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;8,35;;;;
Náufrago escena- Náufrago;9,5;;;;
Imhotep - The mummy;9,75;;;;
Unohana Bankai - Bleach;7;;;;
Hymn To Red October - La caza del octubre rojo;7,25;;;;
La Pantera Rosa - La Pantera Rosa;8,75;;;;
Mother Sea - One piece;10;;;;
The bridge of Khazad Dum - El señor de los anillos;9,25;X;https://www.youtube.com/watch?v=aGj1iQvhlXE&ab_channel=Goose;0:20 - 0:50;
Jurassic Park - Parque Jurásico;9,75;;;;
Piratas del caribe BSO - Piratas del Caribe;9,95;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;7;;;;
Freedom - Braveheart;8,25;;;;
Master of Masters theme - Kingdom Hearts;7,25;;;;
Discombobulate - Sherlock Holmes;8,5;;;;
Victor’s piano solo - La novia cadáver;10;X;https://www.youtube.com/watch?v=VVOHG0CB6xE&ab_channel=SabineFischer;0:25 - 0:55;
The Only thing worth fighting for - True Detective;9,25;;;;
Marcha imperial - Star wars;8,75;;;;
Sayuri's Theme - Memorias de una Geisha;10;;;;
Your new home - Amazing Digital Circus;9,25;;;;
Love so fine - True Beauty kdrama;9,5;;;;
The Citrine Cross - The Da Vinci Code;7,75;;;;
Eye of the tiger - Rocky III;10;;;;
Kronos Unveiled - Los Increíbles;8,75;;;;
Farewell - Pocahontas;9;;;;
Family theme - Shinchan;10;X;https://www.youtube.com/watch?v=BSjvGavHrtI&ab_channel=Shinchan;21:28 - 21:58;INFANCIA
Alice’s Theme - Alicia en el País de la Maravillas;9,75;;;;
Enchantix - Winx Club;8;;;;
Vals - Princesa por sorpresa;10;;;;
Locke’d out again - Lost;8,25;;;;
Spirit - No voy a rendirme;10;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;7,25;;;;
Change of seasons - Harry Potter y la piedra filosofal;9,5;;;;
Indiana Jones Theme - Indiana Jones;8;;;;
Kanto Anime OST - Pokemon;8,75;;;;
Married Life - Up;10;;;;
Escena final Titanic - Titanic;8,75;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;7;;;;
Hyoga vs Camus - Saint Seiya;8,5;;;;
My Daughter Anne - Anne with an E;10;X;https://www.youtube.com/watch?v=vO-ZqqtOuIA&t=53s&ab_channel=TrueNorth;0:59 - 1:29;
She is a witch - Madoka Magica;9,15;;;;
Sweet Dreams - Chainsaw man;10;;;;
Main theme - Psycho/Psicosis;9,75;;;;
The Batman - The Batman;8,5;;;;
Pozos de ambición - There will be blood;7,25;;;;
Portals - Avengers Endgame;9,65;;;;
I have to save her - Erased;8,85;;;;
The Mandalorian theme - The Mandalorian;9;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;8,75;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);8,5;;;;
Isshiki japanese combat kitchen - Shokugeki;8;;;;
Happy Gru - Gru, mi villano favorito;10;X;https://www.youtube.com/watch?v=e42U6qvGyVA&list=PLgBTOZM2ifWU4jjAoui0uDDcLgjy5XdBs&index=3&ab_channel=StephaniTV;0:59 - 1:29;
Escena Rue - Los juegos del hambre;9,95;;;;
Zorro´s Theme - La mascara del zorro;10;;;;
Lo que el viento se llevó - Lo que el viento se llevó;9,25;;;;
Season 5A Suite - Once Upon a Time;9;;;;
Parade - Paprika;7,5;;;;
Derezzed - Tron legacy;8,5;;;;
Low of Solipsism - Death Note;8;;;;
Destroyer of Worlds - Oppenheimer;7,75;;;;
Sin mirar atrás - La ruta hacia el dorado;9,5;;;;
Corazón de dragón tema final- Corazón de dragón;8,5;;;;
To give a marionette life - Hunter x Hunter;8,85;;;;
A Watchful Guardian - The Dark Knight;9;;;;
Allerdale Hall - La Cumbre Escarlata;9,5;X;https://www.youtube.com/watch?v=YUtcZimXKy0&ab_channel=DanielaC;1:20 - 1:50;
Hanezeve Caradhina - Made in Abyss;8,95;;;;
The Other Side - Gattaca;9,75;;;;
I think i did - Lovely runner;8,25;;;;
Love theme - El padrino;9,5;;;;
Jaws, Main Theme - Jaws;7,25;;;;
Theme from Schindler’s List - Schindler’s List;10;;;;
Transformación - Hermano Oso;10;X;https://www.youtube.com/watch?v=M5AuSbatfgE&ab_channel=CarmenIsaura;0:50 - 1:20;
A Gift of A Thistle - Braveheart;9;;;;
Surrounded - El hombre de la máscara de hierro;8,25;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;9,75;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;10;;;;
An Immortal conffesion - Fumetsu no anata e.;7,75;;;;
Table for two - Animales Nocturnos;10;;;;
Cuckold Comes Out - Master & Commander;9,5;;;;
Lo extraño que soy - Tarzán;9,5;;;;
Pinks Soldiers 23 - Juego del calamar;6,5;;;;
Twin Peaks - Twin Peaks;9,75;;;;
Main title - El resplandor;10;;;;
Ashoka vs Maul - Star Wars: Clone Wars;7,25;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;9,25;;;;
Bso Leyendas de pasión- Leyendas de pasión;9,75;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;8,75;;;;
Madder Sky - Code Geass;8;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;8,75;;;;
Sadness Waltz - The picture of Dorian Gray;9,75;X;https://www.youtube.com/watch?v=x4Umh-intCQ&ab_channel=3766673Liberate;1:22 - 1:52;
The Ecstasy of gold - El bueno, el feo y el malo;6,75;;;;
She will kill you - Stranger things;10;;;;
La vita è Bella - La Vita è Bella;9,25;;;;
Death is the road to Awe - The Fountain;8,5;;;;
The rains of Castamere - Juego de Tronos;9,75;;;;
