Is She Still With You - Batman v Superman;10;X;https://www.youtube.com/watch?v=QrKeWVixoxI;00:00 - 00:30;
Leaving Caladan - Dune Parte I;9,25;;;;
Attack on titan - Ataque a los titanes;9,75;;;;
Il triello - El bueno, el feo y el malo;10;;;;
Tanjiro no Uta - Kimetsu no Yaiba;7,8;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;8,25;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;8;;;;
"Carros de fuego" - Vangelis (Carros de fuego);9,2;;;;
Rain - Cowboy bebop;6,75;;;;
To the Infinity Castle - Kimetsu No Yaiba;8,75;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;7,5;;;;
Living in the shadows - Love, death and robots;9,5;;;;
Now We Are Free - Gladiator;9,5;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;10;;;;
This Land - El Rey León;10;X;https://www.youtube.com/watch?v=NXXrD1YuPdI;1:53 - 2:35;
Sanctuary - The Hunchback of Notre Dame;8,75;;;;
Vértigo - Vértigo;7;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;10;;;;
Restriction and pledge - Hunter x Hunter;4;;;;
Test Drive - Como entrenar a tu dragón;9;;;;
Jump in the line - Beetlejuice;7,1;;;;
Goodbye blue sky - The Wall;7,5;;;;
Dynasties & Dystopia - Arcane;9,5;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;9;;;;
Kiss the ring - Dune Parte II;8,75;;;;
Overture - The phantom of the Opera;9,75;;;;
The Night King - Juego de Tronos;10;X;https://www.youtube.com/watch?v=qsdNqDmB6Ow&ab_channel=BestTrailers4K;0:42 - 1:13;
Love theme - Cinema Paradiso;10;;;;
Lisan Al Gaib - Dune II;9;;;;
Courtyard Apocalypse - Harry Potter;10;;;;
Nana de Mercedes - El laberinto del fauno;8,8;;;;
Apocalypto - The Game and Scape;9;;;;
Moon Knight theme - Moon Knight;8,5;;;;
True survivor- Kung fury;8,75;;;;
Blade runner blues - Blade Runner;5,25;;;;
Still don't know my name - Euphoria;9,1;;;;
The Game is On - Sherlock;9,5;X;https://www.youtube.com/watch?v=QIOHvWjonQ4&ab_channel=StrongholdofTheMoments;0:00 - 0:30;
I am Sherlocked - Sherlock;9,1;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;10;;;;
Náufrago escena- Náufrago;8,1;;;;
Imhotep - The mummy;8,7;;;;
Unohana Bankai - Bleach;6,5;;;;
Hymn To Red October - La caza del octubre rojo;9;;;;
La Pantera Rosa - La Pantera Rosa;10;;;;
Mother Sea - One piece;9,5;;;;
The bridge of Khazad Dum - El señor de los anillos;9,75;;;;
