Is She Still With You - Batman v Superman;7;;;;
Leaving Caladan - Dune Parte I;8,75;;;;
Attack on titan - Ataque a los titanes;8;;;;
Il triello - El bueno, el feo y el malo;9;;;;
Tanjiro no Uta - Kimetsu no Yaiba;7;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;7,5;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;8;;;;
"Carros de fuego" - Vangelis (Carros de fuego);9;;;;
Rain - Cowboy bebop;9,5;X;https://www.youtube.com/watch?v=ksfx8hhY8ds;1:02 - 1:32;
To the Infinity Castle - Kimetsu No Yaiba;8,25;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;9,25;;;;
Living in the shadows - Love, death and robots;7,5;;;;
Now We Are Free - Gladiator;10;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;8,5;;;;
This Land - El Rey León;10;;;;
Sanctuary - The Hunchback of Notre Dame;9;;;;
Vértigo - Vértigo;8,5;X;https://www.youtube.com/watch?v=4CZfSc6nJ8U&list=PLZqVeC9vJ87wmBo9dmlXKT599zeGhbx76&index=55;0:23 - 0:53;
Lex Luthor theme - Batman v Superman: Dawn of Justice;8;;;;
Restriction and pledge - Hunter x Hunter;7;;;;
Test Drive - Como entrenar a tu dragón;8;;;;
Jump in the line - Beetlejuice;7,5;;;;
Goodbye blue sky - The Wall;9,25;;;;
Dynasties & Dystopia - Arcane;6,75;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;9,5;;;;
Kiss the ring - Dune Parte II;10;;;;
Overture - The phantom of the Opera;9;;;;
The Night King - Juego de Tronos;9,5;;;;
Love theme - Cinema Paradiso;10;;;;
Lisan Al Gaib - Dune II;8,5;;;;
Courtyard Apocalypse - Harry Potter;8,75;;;;
Nana de Mercedes - El laberinto del fauno;9;;;;
Apocalypto - The Game and Scape;7,5;;;;
Moon Knight theme - Moon Knight;6;;;;
True survivor- Kung fury;6,75;;;;
Blade runner blues - Blade Runner;9,25;X;https://www.youtube.com/watch?v=jKCdNnAEpJY;1:28 - 1:58;
Still don't know my name - Euphoria;8;;;;
The Game is On - Sherlock;9;;;;
I am Sherlocked - Sherlock;8,5;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;9,25;;;;
Náufrago escena- Náufrago;7;;;;
Imhotep - The mummy;6,75;;;;
Unohana Bankai - Bleach;7,25;;;;
Hymn To Red October - La caza del octubre rojo;9;;;;
La Pantera Rosa - La Pantera Rosa;8,75;;;;
Mother Sea - One piece;7,5;;;;
The bridge of Khazad Dum - El señor de los anillos;10;;;;
Jurassic Park - Parque Jurásico;9;X;https://www.youtube.com/watch?v=E8WaFvwtphY;2:11 - 2:41;
Piratas del caribe BSO - Piratas del Caribe;9,25;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;10;;;;
Freedom - Braveheart;7,5;;;;
Master of Masters theme - Kingdom Hearts;7;;;;
Discombobulate - Sherlock Holmes;8,5;;;;
Victor’s piano solo - La novia cadáver;7,75;;;;
The Only thing worth fighting for - True Detective;8,5;;;;
Marcha imperial - Star wars;10;X;https://www.youtube.com/watch?v=O2F91Up9fT8;0:15 - 0:45;
Sayuri's Theme - Memorias de una Geisha;7,5;;;;
Your new home - Amazing Digital Circus;8;;;;
Love so fine - True Beauty kdrama;6;;;;
The Citrine Cross - The Da Vinci Code;7;;;;
Eye of the tiger - Rocky III;9,5;;;;
Kronos Unveiled - Los Increíbles;8;;;;
Farewell - Pocahontas;8;;;;
Family theme - Shinchan;8,75;;;;
Alice’s Theme - Alicia en el País de la Maravillas;8,25;;;;
Enchantix - Winx Club;6;;;;
Vals - Princesa por sorpresa;6,75;;;;
Locke’d out again - Lost;8,75;;;;
Spirit - No voy a rendirme;8,5;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;7,5;;;;
Change of seasons - Harry Potter y la piedra filosofal;9,75;X;https://www.youtube.com/watch?v=TTfBbJxv5Ew;0:17 - 0:47;INFANCIA
Indiana Jones Theme - Indiana Jones;8,5;;;;
Kanto Anime OST - Pokemon;9;;;;
Married Life - Up;9,5;;;;
Escena final Titanic - Titanic;9;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;8,25;;;;
Hyoga vs Camus - Saint Seiya;8;;;;
My Daughter Anne - Anne with an E;6,5;;;;
She is a witch - Madoka Magica;7,25;;;;
Sweet Dreams - Chainsaw man;8,75;;;;
Main theme - Psycho/Psicosis;9,5;;;;
The Batman - The Batman;9;;;;
Pozos de ambición - There will be blood;9,75;X;https://www.youtube.com/watch?v=AxQEZIDws7Y;5:00 - 5:30;
Portals - Avengers Endgame;8,75;;;;
I have to save her - Erased;7,25;;;;
The Mandalorian theme - The Mandalorian;10;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;9;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);7,25;;;;
Isshiki japanese combat kitchen - Shokugeki;6,75;;;;
Happy Gru - Gru, mi villano favorito;8;;;;
Escena Rue - Los juegos del hambre;8,5;;;;
Zorro´s Theme - La mascara del zorro;7,75;;;;
Lo que el viento se llevó - Lo que el viento se llevó;9;;;;
Season 5A Suite - Once Upon a Time;7,75;;;;
Parade - Paprika;9,25;;;;
Derezzed - Tron legacy;9;X;https://www.youtube.com/watch?v=WvVUvw_V6g4;0:48 - 1:18;
Low of Solipsism - Death Note;7;;;;
Destroyer of Worlds - Oppenheimer;9,5;;;;
Sin mirar atrás - La ruta hacia el dorado;8;;;;
Corazón de dragón tema final- Corazón de dragón;7,25;;;;
To give a marionette life - Hunter x Hunter;7,5;;;;
A Watchful Guardian - The Dark Knight;8,75;;;;
Allerdale Hall - La Cumbre Escarlata;9;;;;
Hanezeve Caradhina - Made in Abyss;9,25;;;;
The Other Side - Gattaca;8,5;;;;
I think i did - Lovely runner;7;;;;
Love theme - El padrino;10;X;https://www.youtube.com/watch?v=JCOaI06zAvg;0:01 - 0:31;
Jaws, Main Theme - Jaws;9;;;;
Theme from Schindler’s List - Schindler’s List;9,5;;;;
Transformación - Hermano Oso;8;;;;
A Gift of A Thistle - Braveheart;8,25;;;;
Surrounded - El hombre de la máscara de hierro;7,5;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;9,25;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;8;;;;
An Immortal conffesion - Fumetsu no anata e.;7,25;;;;
Table for two - Animales Nocturnos;8;;;;
Cuckold Comes Out - Master & Commander;8,25;;;;
Lo extraño que soy - Tarzán;9;;;;
Pinks Soldiers 23 - Juego del calamar;7,5;;;;
Twin Peaks - Twin Peaks;8,5;X;https://www.youtube.com/watch?v=aMszCiYdtts;2:30 - 3:00;
Main title - El resplandor;9;;;;
Ashoka vs Maul - Star Wars: Clone Wars;8,25;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;7,5;;;;
Bso Leyendas de pasión- Leyendas de pasión;7,75;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;9,25;;;;
Madder Sky - Code Geass;7,75;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;8,75;;;;
Sadness Waltz - The picture of Dorian Gray;9;;;;
The Ecstasy of gold - El bueno, el feo y el malo;9,5;;;;
She will kill you - Stranger things;8;;;;
La vita è Bella - La Vita è Bella;9,5;;;;
Death is the road to Awe - The Fountain;9;;;;
The rains of Castamere - Juego de Tronos;10;X;https://www.youtube.com/watch?v=L9SIS6wBxpI;0:27 - 0:57;
