Is She Still With You - Batman v Superman;8;;;;
Leaving Caladan - Dune Parte I;9,5;;;;
Attack on titan - Ataque a los titanes;9,1;;;;
Il triello - El bueno, el feo y el malo;6;;;;
Tanjiro no Uta - Kimetsu no Yaiba;10;X;https://drive.google.com/file/d/17L8QQTCvmrMTJglkwERDlItMeVtVidmk/view?usp=sharing;03:03 - 03:33;
Death of Sirius - Harry Potter y la Orden del Fénix;8;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;10;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8;;;;
Rain - Cowboy bebop;8;;;;
To the Infinity Castle - Kimetsu No Yaiba;8,5;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;7;;;;
Living in the shadows - Love, death and robots;10;;;;
Now We Are Free - Gladiator;6;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;7;;;;
This Land - El Rey León;8;;;;
Sanctuary - The Hunchback of Notre Dame;7,5;;;;
Vértigo - Vértigo;7,5;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;9,5;;;;
Restriction and pledge - Hunter x Hunter;10;X;https://drive.google.com/file/d/1Fa_r19EtbvyeMpUJlJdJuguM9EqCRp2q/view?usp=sharing;00:49 - 01:19;
Test Drive - Como entrenar a tu dragón;9;;;;
Jump in the line - Beetlejuice;4;;;;
Goodbye blue sky - The Wall;5,5;;;;
Dynasties & Dystopia - Arcane;5;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;8;;;;
Kiss the ring - Dune Parte II;10;;;;
Overture - The phantom of the Opera;10;;;;
The Night King - Juego de Tronos;10;;;;
Love theme - Cinema Paradiso;8;;;;
Lisan Al Gaib - Dune II;10;X;https://drive.google.com/file/d/1y9KhPmBRxeaXgkEq5IPDnbzrAJw2PpH0/view?usp=sharing;00:32 - 01:02;
Courtyard Apocalypse - Harry Potter;10;;;;
Nana de Mercedes - El laberinto del fauno;8,5;;;;
Apocalypto - The Game and Scape;5;;;;
Moon Knight theme - Moon Knight;8,5;;;;
True survivor- Kung fury;6,5;;;;
Blade runner blues - Blade Runner;6;;;;
Still don't know my name - Euphoria;6,5;;;;
The Game is On - Sherlock;7;;;;
I am Sherlocked - Sherlock;9;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;7,5;;;;
Náufrago escena- Náufrago;6,5;;;;
Imhotep - The mummy;7;;;;
Unohana Bankai - Bleach;10;X;https://drive.google.com/file/d/1UtMQ6OG8kBlINYyojJRsfbSq0So_CoeD/view?usp=sharing;03:52 - 04:22;
Hymn To Red October - La caza del octubre rojo;8;;;;
La Pantera Rosa - La Pantera Rosa;7,5;;;;
Mother Sea - One piece;7;;;;
The bridge of Khazad Dum - El señor de los anillos;8;;;;
Jurassic Park - Parque Jurásico;10;;;;
Piratas del caribe BSO - Piratas del Caribe;9;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;8,5;;;;
Freedom - Braveheart;7,5;;;;
Master of Masters theme - Kingdom Hearts;7;;;;
Discombobulate - Sherlock Holmes;8;;;;
Victor’s piano solo - La novia cadáver;6;;;;
The Only thing worth fighting for - True Detective;6,5;;;;
Marcha imperial - Star wars;7,5;;;;
Sayuri's Theme - Memorias de una Geisha;6;;;;
Your new home - Amazing Digital Circus;9;X;https://drive.google.com/file/d/1gx2knlQifSymlojANB81QqTu5qO8aRf2/view?usp=sharing;00:16 - 00:46;
Love so fine - True Beauty kdrama;7;;;;
The Citrine Cross - The Da Vinci Code;8;;;;
Eye of the tiger - Rocky III;8;;;;
Kronos Unveiled - Los Increíbles;9;;;;
Farewell - Pocahontas;9;;;;
Family theme - Shinchan;6;;;;
Alice’s Theme - Alicia en el País de la Maravillas;10;;;;
Enchantix - Winx Club;9;X;https://www.youtube.com/watch?v=8es0L3hV4-o;00:00 - 00:30;INFANCIA
Vals - Princesa por sorpresa;6;;;;
Locke’d out again - Lost;7;;;;
Spirit - No voy a rendirme;5,5;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;4,5;;;;
Change of seasons - Harry Potter y la piedra filosofal;7,5;;;;
Indiana Jones Theme - Indiana Jones;7,5;;;;
Kanto Anime OST - Pokemon;8,5;;;;
Married Life - Up;8;;;;
Escena final Titanic - Titanic;6,8;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;7;;;;
Hyoga vs Camus - Saint Seiya;7;;;;
My Daughter Anne - Anne with an E;6,5;;;;
She is a witch - Madoka Magica;10;X;https://drive.google.com/file/d/1axNXsoW4TSMDsZLImYm7du-mcYC3ed1X/view?usp=sharing;01:11 - 01:41;
Sweet Dreams - Chainsaw man;8;;;;
Main theme - Psycho/Psicosis;5;;;;
The Batman - The Batman;7,5;;;;
Pozos de ambición - There will be blood;5,5;;;;
Portals - Avengers Endgame;8;;;;
I have to save her - Erased;7;;;;
The Mandalorian theme - The Mandalorian;7;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;7;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);5,5;;;;
Isshiki japanese combat kitchen - Shokugeki;7;;;;
Happy Gru - Gru, mi villano favorito;3,5;;;;
Escena Rue - Los juegos del hambre;6,5;;;;
Zorro´s Theme - La mascara del zorro;6;;;;
Lo que el viento se llevó - Lo que el viento se llevó;6,5;;;;
Season 5A Suite - Once Upon a Time;8;;;;
Parade - Paprika;9,5;;;;
Derezzed - Tron legacy;4;;;;
Low of Solipsism - Death Note;10;X;https://www.youtube.com/watch?v=CXfWlg5yAzc;00:37 - 01:07;
Destroyer of Worlds - Oppenheimer;6,5;;;;
Sin mirar atrás - La ruta hacia el dorado;4,5;;;;
Corazón de dragón tema final- Corazón de dragón;7,5;;;;
To give a marionette life - Hunter x Hunter;8,5;;;;
A Watchful Guardian - The Dark Knight;8,5;;;;
Allerdale Hall - La Cumbre Escarlata;6;;;;
Hanezeve Caradhina - Made in Abyss;10;X;https://drive.google.com/file/d/1Sd8JMT1jfmI0BIB1PwArm8RqnLwZ-M6v/view?usp=sharing;02:13 - 02:43;
The Other Side - Gattaca;8,5;;;;
