Is She Still With You - Batman v Superman;9.25;;;;
Leaving Caladan - Dune Parte I;10;X;https://drive.google.com/file/d/1LpNSfEzlufAjsKN-XTTFEiz5ct2BeG93/view?usp=sharing;1:01 - 1:31;
Attack on titan - Ataque a los titanes;9.33;;;;
Il triello - El bueno, el feo y el malo;9;;;;
Tanjiro no Uta - Kimetsu no Yaiba;9.25;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;7;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;7;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8;;;;
Rain - Cowboy bebop;7;;;;
To the Infinity Castle - Kimetsu No Yaiba;7.25;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;8.5;;;;
Living in the shadows - Love, death and robots;7;;;;
Now We Are Free - Gladiator;9.75;X;https://www.youtube.com/watch?v=CA_N_QVxbKg;2:10 - 2:40;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;8.75;;;;
This Land - El Rey León;9.33;;;;
Sanctuary - The Hunchback of Notre Dame;8;;;;
Vértigo - Vértigo;7.5;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;8.5;;;;
Restriction and pledge - Hunter x Hunter;7;;;;
Test Drive - Como entrenar a tu dragón;9.25;;;;
Jump in the line - Beetlejuice;8.25;;;;
Goodbye blue sky - The Wall;8.5;;;;
Dynasties & Dystopia - Arcane;9.25;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;8.25;;;;
Kiss the ring - Dune Parte II;10;X;https://drive.google.com/file/d/1-EnYCjhyMNhPM96ylt3A3GmFYQpQsjQ3/view?usp=sharing;1:15-1:45;
Overture - The phantom of the Opera;8;;;;
The Night King - Juego de Tronos;8;;;;
Love theme - Cinema Paradiso;10;;;;
Lisan Al Gaib - Dune II;9.33;;;;
Courtyard Apocalypse - Harry Potter;8.5;;;;
Nana de Mercedes - El laberinto del fauno;8.75;;;;
Apocalypto - The Game and Scape;6;;;;
Moon Knight theme - Moon Knight;5.5;;;;
True survivor- Kung fury;8;;;;
Blade runner blues - Blade Runner;7.75;;;;
Still don't know my name - Euphoria;5;;;;
The Game is On - Sherlock;10;;;;
I am Sherlocked - Sherlock;8;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;10;X;https://www.youtube.com/watch?v=qo__6MZIg6U;1:05 - 1:35;
Náufrago escena- Náufrago;10;;;;
Imhotep - The mummy;9.33;;;;
Unohana Bankai - Bleach;8.5;;;;
Hymn To Red October - La caza del octubre rojo;8.75;;;;
La Pantera Rosa - La Pantera Rosa;6;;;;
Mother Sea - One piece;5.5;;;;
The bridge of Khazad Dum - El señor de los anillos;8;;;;
Jurassic Park - Parque Jurásico;8.5;;;;
Piratas del caribe BSO - Piratas del Caribe;8;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;9.5;X;https://www.youtube.com/watch?v=rGUYAuAtRCk;0:30 - 1:00;
Freedom - Braveheart;9.5;;;;
Master of Masters theme - Kingdom Hearts;6;;;;
Discombobulate - Sherlock Holmes;7.5;;;;
Victor’s piano solo - La novia cadáver;9;;;;
The Only thing worth fighting for - True Detective;9;;;;
Marcha imperial - Star wars;9.75;;;;
Sayuri's Theme - Memorias de una Geisha;9;;;;
Your new home - Amazing Digital Circus;8;;;;
Love so fine - True Beauty kdrama;7.5;;;;
The Citrine Cross - The Da Vinci Code;8;;;;
Eye of the tiger - Rocky III;9.33;;;;
Kronos Unveiled - Los Increíbles;10;X;https://www.youtube.com/watch?v=t-XbDgXvNhI;1:55 - 2:25;INFANCIA
Farewell - Pocahontas;9.33;;;;
Family theme - Shinchan;7.75;;;;
Alice’s Theme - Alicia en el País de la Maravillas;9.33;;;;
Enchantix - Winx Club;8.5;;;;
Vals - Princesa por sorpresa;9;;;;
Locke’d out again - Lost;10;;;;
Spirit - No voy a rendirme;8.5;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;6;;;;
Change of seasons - Harry Potter y la piedra filosofal;7.5;;;;
Indiana Jones Theme - Indiana Jones;8;;;;
Kanto Anime OST - Pokemon;8.5;;;;
Married Life - Up;10;X;https://www.youtube.com/watch?v=0WC3m6rfIMY;0:11 - 0:41;
Escena final Titanic - Titanic;9;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;10;;;;
Hyoga vs Camus - Saint Seiya;8.5;;;;
My Daughter Anne - Anne with an E;9;;;;
