Is She Still With You - Batman v Superman;7;;;;
Leaving Caladan - Dune Parte I;8;;;;
Attack on titan - Ataque a los titanes;9;;;;
Il triello - El bueno, el feo y el malo;10;;;;
Tanjiro no Uta - Kimetsu no Yaiba;4;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;3;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;8;;;;
"Carros de fuego" - Vangelis (Carros de fuego);9;;;;
Rain - Cowboy bebop;7;;;;
To the Infinity Castle - Kimetsu No Yaiba;3;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;7;;;;
Living in the shadows - Love, death and robots;10;x;https://www.youtube.com/watch?v=Q_5xeZV4ifE;2:49-3:19;
Now We Are Free - Gladiator;9;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;8;;;;
This Land - El Rey León;10;;;;
Sanctuary - The Hunchback of Notre Dame;9;;;;
Vértigo - Vértigo;10;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;7;;;;
Restriction and pledge - Hunter x Hunter;8;;;;
Test Drive - Como entrenar a tu dragón;9;;;;
Jump in the line - Beetlejuice;8;;;;
Goodbye blue sky - The Wall;9;;;;
Dynasties & Dystopia - Arcane;8;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;10;x;https://www.youtube.com/watch?v=fowHzOH9rqk;2:12-2:42;
Kiss the ring - Dune Parte II;8;;;;
Overture - The phantom of the Opera;9;;;;
The Night King - Juego de Tronos;8;;;;
Love theme - Cinema Paradiso;10;;;;
Lisan Al Gaib - Dune II;8;;;;
Courtyard Apocalypse - Harry Potter;8;;;;
Nana de Mercedes - El laberinto del fauno;9;;;;
Apocalypto - The Game and Scape;9;;;;
Moon Knight theme - Moon Knight;8;;;;
True survivor- Kung fury;10;x;https://www.youtube.com/watch?v=ZTidn2dBYbY;1:58-2:28;
Blade runner blues - Blade Runner;10;;;;
Still don't know my name - Euphoria;8;;;;
The Game is On - Sherlock;8;;;;
I am Sherlocked - Sherlock;7;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;10;;;;
Náufrago escena- Náufrago;8;;;;
Imhotep - The mummy;8;;;;
Unohana Bankai - Bleach;9;;;;
Hymn To Red October - La caza del octubre rojo;8;;;;
La Pantera Rosa - La Pantera Rosa;8;;;;
Mother Sea - One piece;7;;;;
The bridge of Khazad Dum - El señor de los anillos;10;;;;
Jurassic Park - Parque Jurásico;9;;;;
Piratas del caribe BSO - Piratas del Caribe;10;x;https://www.youtube.com/watch?app=desktop&v=4GuRQSB3wCU;4:56-5:26;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;10;;;;
Freedom - Braveheart;9;;;;
Master of Masters theme - Kingdom Hearts;8;;;;
Discombobulate - Sherlock Holmes;8;;;;
Victor’s piano solo - La novia cadáver;9;;;;
The Only thing worth fighting for - True Detective;8;;;;
Marcha imperial - Star wars;10;;;;
Sayuri's Theme - Memorias de una Geisha;9;;;;
Your new home - Amazing Digital Circus;8;;;;
Love so fine - True Beauty kdrama;7;;;;
The Citrine Cross - The Da Vinci Code;8;;;;
Eye of the tiger - Rocky III;10;x;https://www.youtube.com/watch?v=ob8TNqQw2hY;2:49-3:19;
Kronos Unveiled - Los Increíbles;8;;;;
Farewell - Pocahontas;8;;;;
Family theme - Shinchan;7;;;;
Alice’s Theme - Alicia en el País de la Maravillas;8;;;;
Enchantix - Winx Club;4;;;;
Vals - Princesa por sorpresa;7;;;;
Locke’d out again - Lost;8;;;;
Spirit - No voy a rendirme;10;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;8;;;;
Change of seasons - Harry Potter y la piedra filosofal;5;;;;
Indiana Jones Theme - Indiana Jones ;10;x;https://www.youtube.com/watch?v=ntXJJwEk1NA;1:15-1:45;INFANCIA
Kanto Anime OST - Pokemon;4;;;;
Married Life - Up;10;;;;
Escena final Titanic - Titanic;6;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;9;;;;
Hyoga vs Camus - Saint Seiya;4,5;;;;
My Daughter Anne - Anne with an E;9;;;;
She is a witch - Madoka Magica;7;;;;
Sweet Dreams - Chainsaw man;8;;;;
Main theme - Psycho/Psicosis;10;;;;
The Batman - The Batman;8;;;;
Pozos de ambición - There will be blood;9;;;;
Portals - Avengers Endgame;10;x;https://www.youtube.com/watch?v=F_mhWxOjxp4;1:50-2:20;
I have to save her - Erased;8;;;;
The Mandalorian theme - The Mandalorian;8;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;6;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);7;;;;
Isshiki japanese combat kitchen - Shokugeki;8;;;;
Happy Gru - Gru, mi villano favorito;7;;;;
Escena Rue - Los juegos del hambre;9;;;;
Zorro´s Theme - La mascara del zorro;10;;;;
Lo que el viento se llevó - Lo que el viento se llevó;10;x;https://www.youtube.com/watch?v=iaKFmJ_WAyA;0:25-0:55;
Season 5A Suite - Once Upon a Time;7;;;;
Parade - Paprika;9;;;;
Derezzed - Tron legacy;8;;;;
Low of Solipsism - Death Note;8;;;;
Destroyer of Worlds - Oppenheimer;9;;;;
Sin mirar atrás - La ruta hacia el dorado;7;;;;
Corazón de dragón tema final- Corazón de dragón;8;;;;
To give a marionette life - Hunter x Hunter;9;;;;
A Watchful Guardian - The Dark Knight;10;;;;
Allerdale Hall - La Cumbre Escarlata;8;;;;
Hanezeve Caradhina - Made in Abyss;8;;;;
The Other Side - Gattaca;9;;;;
I think i did - Lovely runner;7;;;;
Love theme - El padrino;10;;;;
Jaws, Main Theme - Jaws;10;;;;
Theme from Schindler’s List - Schindler’s List;10;x;https://www.youtube.com/watch?v=057A1RdssoU;0:15-0:0:45;
Transformación - Hermano Oso;6;;;;
A Gift of A Thistle - Braveheart;9;;;;
Surrounded - El hombre de la máscara de hierro;9;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;6;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;8;;;;
An Immortal conffesion - Fumetsu no anata e.;8;;;;
Table for two - Animales Nocturnos;5;;;;
Cuckold Comes Out - Master & Commander;8;;;;
Lo extraño que soy - Tarzán;9;;;;
Pinks Soldiers 23 - Juego del calamar;7;;;;
Twin Peaks - Twin Peaks;9;;;;
Main title - El resplandor;10;x;https://www.youtube.com/watch?v=W9E0CmgkyQU;1:33-2:03;
Ashoka vs Maul - Star Wars: Clone Wars;8;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;7;;;;
Bso Leyendas de pasión- Leyendas de pasión;10;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;8;;;;
Madder Sky - Code Geass;9;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;6;;;;
Sadness Waltz - The picture of Dorian Gray;8;;;;
The Ecstasy of gold - El bueno, el feo y el malo;10;;;;
She will kill you - Stranger things;8;;;;
La vita è Bella - La Vita è Bella;10;;;;
Death is the road to Awe - The Fountain;10;x;https://www.youtube.com/watch?v=7FDAkpQSJVA;4:17-4:47;
The rains of Castamere - Juego de Tronos;9;;;;
